지역,시군구명,점포수,대분류수,지역내비중,최다업종,대분류점포수
경북,경산시,13217,10,0.09117247373540185,음식,4612
경북,경주시,18020,10,0.12430415197941601,음식,6583
경북,고령군,1520,10,0.01048514489504508,음식,593
경북,구미시,20797,10,0.1434602357777977,음식,7330
경북,김천시,6646,10,0.04584491642925631,음식,2443
경북,문경시,4329,10,0.029861968585954045,음식,1590
경북,봉화군,1516,10,0.01045755240847917,음식,594
경북,상주시,4758,10,0.032821262770147686,음식,1744
경북,성주군,2287,10,0.015776004194057957,음식,922
경북,안동시,9462,10,0.06527002697165561,음식,3254
경북,영덕군,2838,10,0.0195768692185118,음식,1085
경북,영양군,742,10,0.005118406257975953,음식,285
경북,영주시,6244,10,0.04307187152938255,음식,2112
경북,영천시,4940,10,0.034076720908896505,음식,1787
경북,예천군,2386,10,0.016458918236564184,음식,936
경북,울릉군,929,10,0.006408355004932157,음식,316
경북,울진군,3245,10,0.02238440472659295,음식,1276
경북,의성군,2326,10,0.016045030938075563,음식,843
경북,청도군,2555,10,0.0176247007939738,음식,960
경북,청송군,1533,10,0.010574820476384281,음식,690
경북,칠곡군,6149,10,0.042416549973442234,음식,2231
경북,포항시 남구,13387,10,0.09234515441445294,음식,5079
경북,포항시 북구,15141,10,0.10444445977360364,음식,5096
대구,군위군,1139,10,0.009623427427190618,음식,427
대구,남구,8405,10,0.07101396622084034,음식,2631
대구,달서구,22762,10,0.19231646628420795,음식,7649
대구,달성군,9329,10,0.07882085554720042,음식,3518
대구,동구,15414,10,0.13023310830791587,음식,5132
대구,북구,18021,10,0.15225968890728897,음식,6070
대구,서구,8218,10,0.0694340005238389,음식,2794
대구,수성구,19916,10,0.1682705712378651,음식,5828
대구,중구,15153,10,0.12802791554365184,소매,5958
