지역,시군구명,행정동명,대분류명,점포수,좌표점포수,평균경도,평균위도
경북,경산시,남부동,과학·기술,45,45,128.73735093692954,35.81228345142245
경북,경산시,남부동,교육,46,46,128.73887384134028,35.806780306599386
경북,경산시,남부동,보건의료,5,5,128.73936686711482,35.80580762661826
경북,경산시,남부동,부동산,24,24,128.73894672359413,35.80618014318957
경북,경산시,남부동,소매,177,177,128.73818102458154,35.81091375016379
경북,경산시,남부동,수리·개인,99,99,128.7388335674073,35.80845718018224
경북,경산시,남부동,숙박,7,7,128.73555218077814,35.81808982415264
경북,경산시,남부동,시설관리·임대,17,17,128.73729445499066,35.812271127381194
경북,경산시,남부동,예술·스포츠,30,30,128.73896574692506,35.80679234560613
경북,경산시,남부동,음식,227,227,128.73802299785086,35.80850931670982
경북,경산시,남산면,과학·기술,10,10,128.81654297678512,35.79160668803756
경북,경산시,남산면,교육,7,7,128.82438581394058,35.791993292884946
경북,경산시,남산면,보건의료,1,1,128.800201479542,35.7995952016803
경북,경산시,남산면,부동산,5,5,128.8125884102652,35.7945416199374
경북,경산시,남산면,소매,37,37,128.82546929280457,35.78569101021397
경북,경산시,남산면,수리·개인,10,10,128.8224337035015,35.78579476314188
경북,경산시,남산면,숙박,5,5,128.8195171357098,35.7733809652514
경북,경산시,남산면,시설관리·임대,10,10,128.81530298171327,35.78698915015017
경북,경산시,남산면,예술·스포츠,1,1,128.853768779558,35.7509226251176
경북,경산시,남산면,음식,51,51,128.8185864947052,35.7884070931178
경북,경산시,남천면,과학·기술,10,10,128.7302885452012,35.76609775730894
경북,경산시,남천면,교육,4,4,128.732749183664,35.76474822284675
경북,경산시,남천면,부동산,2,2,128.730873857306,35.78758316435045
경북,경산시,남천면,소매,43,43,128.7325068374015,35.76775055862469
경북,경산시,남천면,수리·개인,19,19,128.729005566435,35.76584858321839
경북,경산시,남천면,숙박,6,6,128.7300985495875,35.77968810962273
경북,경산시,남천면,시설관리·임대,6,6,128.72810022646982,35.763243721439004
경북,경산시,남천면,예술·스포츠,5,5,128.7566029784188,35.7566316376499
경북,경산시,남천면,음식,34,34,128.7309662670794,35.770923456909365
경북,경산시,동부동,과학·기술,150,150,128.75890647207223,35.814787047757896
경북,경산시,동부동,교육,120,120,128.75834351921156,35.811861047935196
경북,경산시,동부동,보건의료,11,11,128.75656457002137,35.81375525833941
경북,경산시,동부동,부동산,52,52,128.75891661909628,35.81468044687579
경북,경산시,동부동,소매,327,327,128.75952256111663,35.813342367098926
경북,경산시,동부동,수리·개인,225,225,128.75668680533767,35.81500724656095
경북,경산시,동부동,숙박,3,3,128.769794286973,35.79930762221783
경북,경산시,동부동,시설관리·임대,52,52,128.76031264395203,35.81351335516463
경북,경산시,동부동,예술·스포츠,78,78,128.75812024443275,35.813972059812286
경북,경산시,동부동,음식,525,525,128.7575165757251,35.81488681428608
경북,경산시,북부동,과학·기술,100,100,128.74819596266084,35.837248029516765
경북,경산시,북부동,교육,44,44,128.7479362268722,35.835766369999355
경북,경산시,북부동,보건의료,7,7,128.74927823730042,35.83303816576731
경북,경산시,북부동,부동산,76,76,128.74812638229898,35.83702330598705
경북,경산시,북부동,소매,279,279,128.74866681685845,35.8378193366412
경북,경산시,북부동,수리·개인,177,177,128.74724881459713,35.83795232530259
경북,경산시,북부동,숙박,6,6,128.7440406603375,35.8356420753256
경북,경산시,북부동,시설관리·임대,58,58,128.74933356645073,35.83789618914273
