지역,시군구명,대분류명,점포수,시군구내비중
경북,경산시,과학·기술,895,0.06771582053416055
경북,경산시,교육,734,0.05553453885147915
경북,경산시,보건의료,124,0.009381856699704925
경북,경산시,부동산,530,0.04009987137777105
경북,경산시,소매,3278,0.2480139214647802
경북,경산시,수리·개인,1828,0.13830672618597262
경북,경산시,숙박,135,0.010214118181130362
경북,경산시,시설관리·임대,491,0.03714912612544451
경북,경산시,예술·스포츠,590,0.044639479458273436
경북,경산시,음식,4612,0.3489445411212832
경북,경주시,과학·기술,856,0.047502774694783576
경북,경주시,교육,574,0.0318534961154273
경북,경주시,보건의료,87,0.004827968923418424
경북,경주시,부동산,326,0.01809100998890122
경북,경주시,소매,4275,0.23723640399556048
경북,경주시,수리·개인,1770,0.09822419533851276
경북,경주시,숙박,2202,0.12219755826859045
경북,경주시,시설관리·임대,765,0.04245283018867924
경북,경주시,예술·스포츠,582,0.03229744728079911
경북,경주시,음식,6583,0.3653163152053274
경북,고령군,과학·기술,93,0.06118421052631579
경북,고령군,교육,32,0.021052631578947368
경북,고령군,보건의료,9,0.0059210526315789476
경북,고령군,부동산,41,0.026973684210526316
경북,고령군,소매,458,0.3013157894736842
경북,고령군,수리·개인,143,0.09407894736842105
경북,고령군,숙박,36,0.02368421052631579
경북,고령군,시설관리·임대,65,0.04276315789473684
경북,고령군,예술·스포츠,50,0.03289473684210526
경북,고령군,음식,593,0.39013157894736844
경북,구미시,과학·기술,1229,0.05909506178775785
경북,구미시,교육,1100,0.05289224407366447
경북,구미시,보건의료,157,0.007549165745059383
경북,구미시,부동산,669,0.032168101168437754
경북,구미시,소매,5030,0.24186180699139298
경북,구미시,수리·개인,3147,0.15131990190892916
경북,구미시,숙박,314,0.015098331490118766
경북,구미시,시설관리·임대,781,0.03755349329230177
경북,구미시,예술·스포츠,1040,0.05000721257873732
경북,구미시,음식,7330,0.3524546809636005
경북,김천시,과학·기술,387,0.05823051459524526
경북,김천시,교육,281,0.0422810713210954
경북,김천시,보건의료,39,0.0058681913933192895
경북,김천시,부동산,167,0.025127896479085164
경북,김천시,소매,1737,0.2613602166716822
경북,김천시,수리·개인,903,0.13587120072223893
경북,김천시,숙박,181,0.027234426722840807
경북,김천시,시설관리·임대,249,0.037466145049653926
경북,김천시,예술·스포츠,259,0.038970809509479384
경북,김천시,음식,2443,0.3675895275353596
경북,문경시,과학·기술,230,0.05313005313005313
경북,문경시,교육,141,0.03257103257103257
경북,문경시,보건의료,24,0.005544005544005544
경북,문경시,부동산,87,0.020097020097020097
경북,문경시,소매,1210,0.2795102795102795
경북,문경시,수리·개인,504,0.11642411642411643
경북,문경시,숙박,280,0.06468006468006468
경북,문경시,시설관리·임대,144,0.033264033264033266
경북,문경시,예술·스포츠,119,0.027489027489027488
경북,문경시,음식,1590,0.3672903672903673
경북,봉화군,과학·기술,82,0.05408970976253298
경북,봉화군,교육,23,0.015171503957783642
경북,봉화군,보건의료,4,0.002638522427440633
경북,봉화군,부동산,25,0.016490765171503958
경북,봉화군,소매,415,0.2737467018469657
경북,봉화군,수리·개인,142,0.09366754617414248
경북,봉화군,숙박,142,0.09366754617414248
경북,봉화군,시설관리·임대,35,0.02308707124010554
경북,봉화군,예술·스포츠,54,0.03562005277044855
경북,봉화군,음식,594,0.391820580474934
경북,상주시,과학·기술,278,0.05842791088692728
경북,상주시,교육,159,0.033417402269861285
경북,상주시,보건의료,25,0.005254308532997058
경북,상주시,부동산,89,0.018705338377469526
경북,상주시,소매,1441,0.3028583438419504
경북,상주시,수리·개인,626,0.13156788566624633
경북,상주시,숙박,106,0.022278268179907523
경북,상주시,시설관리·임대,159,0.033417402269861285
경북,상주시,예술·스포츠,131,0.027532576712904582
경북,상주시,음식,1744,0.36654056326187473
경북,성주군,과학·기술,142,0.062090074333187584
경북,성주군,교육,43,0.01880192391779624
경북,성주군,보건의료,12,0.005247048535198951
경북,성주군,부동산,63,0.027547004809794492
경북,성주군,소매,605,0.2645386969829471
경북,성주군,수리·개인,211,0.09226060341058155
경북,성주군,숙박,145,0.06340183646698731
경북,성주군,시설관리·임대,85,0.03716659379099257
경북,성주군,예술·스포츠,59,0.02579798863139484
경북,성주군,음식,922,0.40314822912111936
경북,안동시,과학·기술,647,0.06837877827097866
경북,안동시,교육,406,0.04290847600930036
경북,안동시,보건의료,61,0.0064468399915451275
경북,안동시,부동산,147,0.015535827520608751
경북,안동시,소매,2591,0.2738321707884168
경북,안동시,수리·개인,1180,0.12470936377087297
경북,안동시,숙박,418,0.04417670682730924
경북,안동시,시설관리·임대,404,0.04269710420629888
경북,안동시,예술·스포츠,354,0.03741280913126189
경북,안동시,음식,3254,0.3439019234834073
경북,영덕군,과학·기술,118,0.041578576462297394
경북,영덕군,교육,52,0.018322762508809022
경북,영덕군,보건의료,13,0.0045806906272022555
경북,영덕군,부동산,38,0.013389711064129669
경북,영덕군,소매,752,0.2649753347427766
경북,영덕군,수리·개인,292,0.10288935870331219
경북,영덕군,숙박,336,0.11839323467230443
경북,영덕군,시설관리·임대,69,0.024312896405919663
경북,영덕군,예술·스포츠,83,0.029245947850599013
경북,영덕군,음식,1085,0.38231148696264977
경북,영양군,과학·기술,42,0.05660377358490566
경북,영양군,교육,18,0.02425876010781671
경북,영양군,보건의료,1,0.0013477088948787063
경북,영양군,부동산,2,0.0026954177897574125
경북,영양군,소매,230,0.30997304582210244
경북,영양군,수리·개인,73,0.09838274932614555
경북,영양군,숙박,35,0.04716981132075472
경북,영양군,시설관리·임대,31,0.04177897574123989
경북,영양군,예술·스포츠,25,0.03369272237196765
경북,영양군,음식,285,0.38409703504043125
경북,영주시,과학·기술,291,0.04660474055092889
경북,영주시,교육,199,0.03187059577194106
경북,영주시,보건의료,36,0.005765534913516977
경북,영주시,부동산,123,0.019698910954516334
경북,영주시,소매,1983,0.31758488148622677
경북,영주시,수리·개인,900,0.1441383728379244
경북,영주시,숙박,222,0.03555413196668802
경북,영주시,시설관리·임대,181,0.028987828315182575
경북,영주시,예술·스포츠,197,0.03155028827674568
경북,영주시,음식,2112,0.3382447149263293
경북,영천시,과학·기술,276,0.055870445344129556
경북,영천시,교육,161,0.032591093117408904
경북,영천시,보건의료,21,0.004251012145748988
경북,영천시,부동산,136,0.027530364372469637
경북,영천시,소매,1398,0.28299595141700407
경북,영천시,수리·개인,653,0.13218623481781377
경북,영천시,숙박,132,0.026720647773279354
경북,영천시,시설관리·임대,214,0.04331983805668016
경북,영천시,예술·스포츠,162,0.03279352226720648
경북,영천시,음식,1787,0.3617408906882591
경북,예천군,과학·기술,125,0.052388935456831515
경북,예천군,교육,101,0.04233025984911987
경북,예천군,보건의료,12,0.005029337803855826
경북,예천군,부동산,55,0.02305113160100587
경북,예천군,소매,619,0.2594300083822297
경북,예천군,수리·개인,272,0.11399832355406538
경북,예천군,숙박,87,0.036462699077954734
경북,예천군,시설관리·임대,88,0.036881810561609385
경북,예천군,예술·스포츠,91,0.038139145012573344
경북,예천군,음식,936,0.3922883487007544
경북,울릉군,과학·기술,26,0.02798708288482239
경북,울릉군,교육,8,0.008611410118406888
경북,울릉군,보건의료,1,0.001076426264800861
경북,울릉군,부동산,5,0.005382131324004306
경북,울릉군,소매,210,0.22604951560818085
경북,울릉군,수리·개인,50,0.05382131324004306
경북,울릉군,숙박,238,0.25618945102260493
경북,울릉군,시설관리·임대,59,0.06350914962325081
경북,울릉군,예술·스포츠,16,0.017222820236813777
경북,울릉군,음식,316,0.3401506996770721
경북,울진군,과학·기술,119,0.036671802773497686
경북,울진군,교육,88,0.02711864406779661
경북,울진군,보건의료,15,0.004622496147919877
경북,울진군,부동산,32,0.009861325115562404
경북,울진군,소매,851,0.26224961479198766
경북,울진군,수리·개인,326,0.10046224961479198
경북,울진군,숙박,283,0.08721109399075501
경북,울진군,시설관리·임대,127,0.03913713405238829
경북,울진군,예술·스포츠,128,0.039445300462249616
경북,울진군,음식,1276,0.39322033898305087
경북,의성군,과학·기술,146,0.06276870163370593
경북,의성군,교육,59,0.02536543422184007
경북,의성군,보건의료,19,0.00816852966466036
경북,의성군,부동산,33,0.014187446259673258
경북,의성군,소매,741,0.31857265692175407
경북,의성군,수리·개인,284,0.12209802235597593
경북,의성군,숙박,42,0.018056749785038694
경북,의성군,시설관리·임대,104,0.04471195184866724
경북,의성군,예술·스포츠,55,0.023645743766122097
경북,의성군,음식,843,0.3624247635425623
경북,청도군,과학·기술,132,0.05166340508806262
경북,청도군,교육,65,0.025440313111545987
경북,청도군,보건의료,17,0.006653620352250489
경북,청도군,부동산,90,0.03522504892367906
경북,청도군,소매,593,0.23209393346379648
