지역,중분류명,점포수,지역순위
경북,한식,25494,1
경북,이용·미용,9903,2
경북,기타 간이,9363,3
경북,종합 소매,7614,4
경북,비알코올,7607,5
경북,일반 숙박,6854,6
경북,섬유·의복·신발 소매,6315,7
경북,식료품 소매,5477,8
경북,주점,5336,9
경북,부동산 서비스,3723,10
경북,자동차 수리·세차,3613,11
경북,기타 교육,3480,12
경북,의약·화장품 소매,3020,13
경북,유원지·오락,2868,14
경북,스포츠 서비스,2420,15
경북,연료 소매,2219,16
경북,기술 서비스,2111,17
경북,오락용품 소매,2012,18
경북,가전·통신 소매,1999,19
경북,중식,1959,20
경북,일반 교육,1845,21
경북,철물·건설자재 소매,1769,22
경북,세탁,1361,23
경북,청소·방제,1348,24
경북,전문 디자인,1214,25
경북,기타 생활용품 소매,1173,26
경북,고용 알선,1028,27
경북,기타 상품 소매,1011,28
경북,인쇄·제품제작,970,29
경북,본사·경영 컨설팅,916,30
경북,광고,907,31
경북,욕탕·신체관리,907,32
경북,일식,857,33
경북,서양식,852,34
경북,기타 사업 서비스,780,35
경북,기타 가정용품 수리,772,36
경북,장식품 소매,736,37
경북,사진 촬영,732,38
경북,의원,657,39
경북,식물 소매,645,40
경북,구내식당·뷔페,630,41
경북,가전제품 수리,629,42
경북,자동차 부품 소매,615,43
경북,법무관련,586,44
경북,안경·정밀기기 소매,574,45
경북,가구 소매,564,46
경북,여행사·보조,529,47
경북,애완동물·용품 소매,498,48
경북,산업용품 대여,489,49
경북,중고 상품 소매,486,50
경북,시계·귀금속 소매,463,51
경북,교육 지원,460,52
경북,가정용품 대여,439,53
경북,장례식장,424,54
경북,도서관·사적지,335,55
경북,컴퓨터 수리,307,56
경북,담배 소매,306,57
경북,회계·세무,285,58
경북,시설관리,277,59
경북,운송장비 대여,272,60
경북,동남아시아,263,61
경북,수의,247,62
경북,모터사이클 수리,242,63
경북,병원,188,64
경북,음료 소매,163,65
경북,조경·유지,136,66
경북,사무 지원,123,67
경북,모터사이클 소매,120,68
경북,기타 개인,106,69
경북,기타 보건,106,70
경북,기타 숙박,99,71
경북,기타 전문 과학,61,72
경북,통신장비 수리,57,73
경북,시장 조사,21,74
대구,한식,16201,1
대구,이용·미용,9671,2
대구,섬유·의복·신발 소매,8320,3
대구,기타 간이,7671,4
대구,비알코올,5513,5
대구,종합 소매,4735,6
대구,주점,4505,7
대구,부동산 서비스,4166,8
대구,기타 교육,3945,9
대구,의약·화장품 소매,3257,10
대구,식료품 소매,3072,11
대구,자동차 수리·세차,2744,12
대구,일반 교육,2544,13
대구,유원지·오락,2450,14
대구,스포츠 서비스,2127,15
대구,가전·통신 소매,1871,16
대구,기술 서비스,1802,17
대구,전문 디자인,1557,18
대구,광고,1544,19
대구,오락용품 소매,1438,20
대구,본사·경영 컨설팅,1351,21
대구,중식,1349,22
대구,의원,1266,23
대구,청소·방제,1191,24
대구,일반 숙박,1070,25
대구,일식,1025,26
대구,서양식,988,27
대구,인쇄·제품제작,985,28
대구,사진 촬영,971,29
대구,세탁,950,30
대구,기타 생활용품 소매,895,31
대구,법무관련,876,32
대구,철물·건설자재 소매,856,33
대구,연료 소매,797,34
대구,고용 알선,766,35
대구,기타 가정용품 수리,757,36
대구,시계·귀금속 소매,719,37
대구,회계·세무,704,38
대구,욕탕·신체관리,669,39
대구,가전제품 수리,646,40
대구,안경·정밀기기 소매,603,41
대구,식물 소매,600,42
대구,여행사·보조,599,43
대구,중고 상품 소매,549,44
대구,기타 사업 서비스,536,45
대구,도서관·사적지,527,46
대구,가구 소매,513,47
대구,교육 지원,512,48
대구,기타 상품 소매,497,49
대구,구내식당·뷔페,471,50
대구,자동차 부품 소매,469,51
대구,장식품 소매,454,52
대구,애완동물·용품 소매,428,53
대구,가정용품 대여,400,54
대구,컴퓨터 수리,359,55
대구,산업용품 대여,270,56
대구,시설관리,261,57
대구,동남아시아,253,58
대구,수의,202,59
대구,장례식장,184,60
대구,기타 개인,166,61
대구,담배 소매,165,62
대구,모터사이클 수리,154,63
대구,사무 지원,152,64
대구,음료 소매,146,65
대구,병원,139,66
대구,기타 전문 과학,132,67
대구,모터사이클 소매,130,68
대구,운송장비 대여,126,69
대구,기타 보건,125,70
대구,기타 숙박,91,71
대구,통신장비 수리,81,72
대구,시장 조사,49,73
대구,조경·유지,49,74
대구,기타 외국,1,75
